Id,Label,0,1,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
hang,hang,MORGENMØDE2024,,3,5,0.293183,0.30825,0
geografisk,geografisk,MORGENMØDE2024,,3,5,0.293183,0.30825,0
tale,tale,MORGENMØDE2024,,3,4,0.34532,0.362934,0
prøv,prøv,MORGENMØDE2024,,3,4,0.34532,0.362934,0
ændret,ændret,MORGENMØDE2024,,4,4,0.353505,0.372444,0
valgt,valgt,MORGENMØDE2024,,17,4,0.367786,0.393723,923.857963
workplace,workplace,MORGENMØDE2024,,4,4,0.358935,0.377675,0
management,management,MORGENMØDE2024,,4,4,0.358935,0.377675,0
består,består,MORGENMØDE2024,,4,4,0.358935,0.377675,0
dejligt,dejligt,MORGENMØDE2024,,0,5,0.311417,0.326296,0
bunden,bunden,MORGENMØDE2024,,17,5,0.306918,0.32292,0
bygge,bygge,MORGENMØDE2024,,17,5,0.306918,0.32292,0
fantastiske,fantastiske,MORGENMØDE2024,,17,5,0.306918,0.32292,0
forestille,forestille,MORGENMØDE2024,,17,5,0.306918,0.32292,0
løbe,løbe,MORGENMØDE2024,,3,4,0.348756,0.366738,0
skala,skala,MORGENMØDE2024,,3,4,0.348756,0.366738,0
forlag,forlag,MORGENMØDE2024,,3,4,0.348756,0.366738,0
organisationen,organisationen,MORGENMØDE2024,,9,4,0.338811,0.355445,0
fagligheden,fagligheden,MORGENMØDE2024,,9,4,0.338811,0.355445,0
